								Class	Cal0	Cal0	Cal0	Cal0-005	Cal0-005	Cal0-005	Cal0-01	Cal0-01	Cal0-01	Cal0-02	Cal0-02	Cal0-02	Cal0-05	Cal0-05	Cal0-05	Cal0-1	Cal0-1	Cal0-1	Cal0-2	Cal0-2	Cal0-2	Cal0-5	Cal0-5	Cal0-5	Cal1	Cal1	Cal1	Cal2	Cal2	Cal2	Cal5	Cal5	Cal5	Cal10	Cal10	Cal10	Cal20	Cal20	Cal20	Cal50	Cal50	Cal50	Cal100	Cal100	Cal100	no spike	pre 5	post 5	pre 20	post 20
6451	9.538	301.95303	Perfluoro-1-[13C3]butanesulfonate _IS	[M-H]-	9.46	301.95309	IS\notlatePFAS	1086.63	804726912	797735104	855238528	788054592	773434368	782689472	759216000	796986560	791639936	749851200	736861760	780062592	760251520	724734464	750857152	707620736	724552896	744503488	676669568	727006656	705961024	682649536	687142144	698465408	714581888	692761344	705846976	676000640	667996992	661900032	689394368	660281344	688374592	704746752	671423616	674731776	668796736	666172096	657983232	630282176	638188928	612382080	564140736	541421952	578720064	638188928	612382080	564140736	541421952	578720064
9349	11.203	401.94641	Perfluoro-1-[13C3]hexanesulfonate _IS	[M-H]-	11.13	401.94669	IS\notlatePFAS	2718593.75	956812736	948863488	894418048	908945664	896113280	877197440	906536704	889956672	883442112	842522624	860456128	830629696	856080832	790389120	877127296	861926720	851318272	780560128	814713920	791220032	767268800	785070720	763114176	806794624	830036416	801494080	810835136	742890304	791622656	773121728	805510464	774542784	870004096	823754816	745834368	754238720	778971840	782014592	774706816	767860672	774497984	745611328	687100992	681213824	671647040	774497984	745611328	687100992	681213824	671647040
11976	13.169	505.97305	Perfluoro-1-[13C8]octanesulfonamide_IS (FOSA)	[M-H]-	13.13	505.97299	IS\latePFAS	507257	94225416	133204856	135674832	121390520	144672112	129721496	94414432	99467008	129284688	110471024	117443040	101247552	114073240	127911488	144735504	121822264	125651480	98408752	106923880	116946296	119782840	127962352	93915808	117628400	113821048	137924816	128220488	84993704	100285648	111990400	107896200	118677936	144377104	148127376	103725816	114526480	120564200	92781040	131240464	126174384	111356528	120790784	110032080	100611624	100743232	111356528	120790784	110032080	100611624	100743232
12000	12.222	506.95663	Perfluoro-1-[13C8]octanesulfonate _IS	[M-H]-	12.13	506.95709	IS\notlatePFAS	1400766.12	535374048	755252416	726925760	581266880	713618240	705635008	637942336	593573312	690674816	585782464	664551552	589835072	681973376	600655104	733298048	648222912	675974400	479773600	568925568	524046976	614614592	605757184	466409888	693384512	667201728	672385600	572313216	410788352	524665248	623719424	541746688	642814272	693327936	676390080	492695360	589980288	652952320	539872640	611179072	619530496	555919808	609409536	498014016	511446752	448742944	555919808	609409536	498014016	511446752	448742944
14510	13.242	614.96027	Perfluoro-n-[13C2]dodecanoic acid_IS	[M-H]-	13.15	614.96039	IS\latePFAS	124423.45	7813216	12714257	12911752	9111913	11133133	12665242	9531755	6737326	9291056	7015722	8760758	6042272	10718065	11738580	13025393	9944544	9825664	5067208	8905543	6224342	7709225	8630611	5093535	10093036	8342390	11607633	6946306	4141795	5573858	8032927	6404116	8942956	9626649	9177819	5532399	10258368	8042476	6380318	7265618	11695064	9125507	9214795	11114042	7336668	7162212	9125507	9214795	11114042	7336668	7162212
16698	13.688	714.9541	Perfluoro-n-[13C2]tetradecanoic acid_IS	[M-H]-	13.61	714.95398	IS\PFTeDA	51405.39	891709	0	922547	1805780	1099413	1092562	0	416342	618310	0	1021562	386031	544077	1481934	499358	1861119	0	0	0	0	482275	438151	0	0	708120	0	809285	452234	409046	0	0	0	559387	490975	0	686225	0	0	0	366346	0	0	0	0	429234	0	0	0	0	429234
3723	7.131	216.99261	Perfluoro-n-[13C4]butanoic acid _IS	[M-H]-	7.01	216.9926	IS\notlatePFAS	23.01	68026616	67126928	61975268	60905804	62684680	60571084	58544788	59773108	60196232	59154468	58337092	58874768	57252320	56843632	57840844	63724272	59764888	53643960	53058572	54978360	54618496	55606392	55374760	55783168	53849936	55124764	55881036	52494332	55488444	55017644	48455252	52759008	57428420	61248100	56663432	52862472	58347400	51728108	56953260	52212952	54870656	51829280	49330392	49917968	45636952	54870656	51829280	49330392	49917968	45636952
8396	11.166	366.98279	Perfluoro-n-[13C4]heptanoic acid _IS	[M-H]-	11.09	366.983	IS\notlatePFAS	204.62	137031232	127960376	131726136	139881568	128786448	126550784	126711416	124624616	120539208	121768776	127554064	124474152	112720424	120723312	120851184	111700288	120781064	112648640	114588248	110398088	114495432	110666024	121820088	114444072	115915672	110828280	101349488	116270760	103375408	110593360	109449728	119298792	111921944	112918664	114158952	108638808	103388096	100905600	108826296	98631424	93562392	83706904	75743480	81583256	76571344	93562392	83706904	75743480	81583256	76571344
6922	10.401	317.98962	Perfluoro-n-[13C5]hexanoic acid_IS	[M-2H]-	10.32	317.98959	IS\notlatePFAS	27969.24	114227696	117287696	115996656	105409216	107779088	101081304	94851888	109020848	110650880	100845008	98163896	97057168	102497816	95786840	98045520	90741968	93289600	93191200	94289392	92940912	92226176	89299304	87148464	97302112	87866408	97577200	96220568	90337248	86122296	88689536	84668536	87737232	94079896	84446176	85172312	80782240	87336768	89250680	80159064	76481592	82720864	78594616	64706092	68155104	74825688	82720864	78594616	64706092	68155104	74825688
5363	9.263	267.99283	Perfluoro-n-[13C5]pentanoic acid_IS	[M-2H]-	9.17	267.9928	IS\notlatePFAS	74.22	74979552	79345928	74674304	73941832	75469728	68507000	68254448	74246384	75826624	68326016	67807208	65963300	65802016	67149120	65495580	66392584	72510048	64656760	67413760	64974936	62609736	63789288	66619784	67442968	64078288	65305892	57606252	62186300	62839052	59483336	61482704	62318200	65591376	61413280	63714524	62399036	59250076	63222908	57649060	57156648	56604848	57560120	52987508	52814592	50744400	56604848	57560120	52987508	52814592	50744400
